iter	Logloss
0	0.6187226915
1	0.567661283
2	0.5310214011
3	0.5009650513
4	0.4772202224
5	0.4585526572
6	0.4434477149
7	0.4308132121
8	0.4206084726
9	0.4089839751
10	0.4002600621
11	0.3919928891
12	0.3846457486
13	0.3787342961
14	0.3732382045
15	0.3680077486
16	0.3612404877
17	0.356669013
18	0.3530410824
19	0.3493027223
20	0.34601652
21	0.3425703354
22	0.3394168731
23	0.3351372624
24	0.3297926605
25	0.3270291413
26	0.323220081
27	0.3193910216
28	0.3172344625
29	0.3136869978
30	0.3115789077
31	0.3097816026
32	0.3062378747
33	0.3029182669
34	0.2997614527
35	0.2972760959
36	0.2954729057
37	0.2926123372
38	0.2904918954
39	0.2892543857
40	0.2867457739
41	0.2856215675
42	0.284146228
43	0.281670583
44	0.2804779386
45	0.2778721119
46	0.2760939379
47	0.2741092715
48	0.2709419447
49	0.2691486965
50	0.2679070581
51	0.2666053592
52	0.2634813667
53	0.2616536616
54	0.2600820087
55	0.2584218445
56	0.2535911191
57	0.2525283327
58	0.25024647
59	0.2476190858
60	0.2444067966
61	0.2433131042
62	0.2419228269
63	0.2387333803
64	0.2369441866
65	0.2342763178
66	0.2326146934
67	0.2315827243
68	0.2287988597
69	0.2268700591
70	0.2250599157
71	0.2240258462
72	0.2226986828
73	0.2214957716
74	0.2191453397
75	0.2178789429
76	0.2160701626
