iter	Passed	Remaining
0	1	141
1	3	126
2	4	120
3	6	116
4	7	114
5	9	113
6	10	111
7	12	109
8	13	108
9	15	106
10	16	105
11	18	104
12	20	103
13	21	101
14	23	99
15	24	98
16	26	96
17	27	95
18	29	95
19	31	94
20	32	92
21	34	90
22	35	88
23	37	87
24	38	85
25	40	83
26	41	82
27	43	80
28	44	78
29	46	76
30	47	75
31	49	73
32	50	72
33	52	71
34	54	69
35	55	67
36	56	66
37	58	64
38	59	62
39	61	61
40	63	60
41	64	58
42	66	57
43	67	55
44	69	54
45	71	52
46	72	50
47	73	49
48	75	47
49	77	46
50	78	44
51	80	43
52	81	41
53	83	40
54	85	38
55	86	37
56	88	35
57	89	33
58	91	32
59	92	30
60	94	29
61	95	27
62	97	26
63	98	24
64	100	23
65	101	21
66	103	20
67	104	18
68	106	16
69	107	15
70	109	13
71	110	12
72	112	10
73	113	9
74	115	7
75	116	6
76	118	4
77	119	3
78	121	1
79	122	0
